epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.1521,1.92075,1.32665,1.51704,0.69628,0.60737,0.69562,0.26447,2.18465,1.43118,1.78145,0.000549423,0.000549423,0.000549423
2,40.9454,1.9303,1.27943,1.51805,0.70891,0.6903,0.70677,0.2745,2.08914,1.36362,1.75824,0.00108321,0.00108321,0.00108321
3,61.3295,1.96177,1.35022,1.55347,0.69899,0.6248,0.6873,0.24683,2.18237,1.46975,1.78809,0.00159499,0.00159499,0.00159499
4,81.8371,1.96648,1.35878,1.53824,0.71594,0.57471,0.6658,0.23893,2.27447,1.47591,1.90539,0.00156798,0.00156798,0.00156798
5,102.512,1.94742,1.30722,1.52763,0.70364,0.5977,0.66592,0.23679,2.21718,1.38671,1.80557,0.00153497,0.00153497,0.00153497
6,123.189,1.91379,1.28155,1.52777,0.64651,0.66546,0.69023,0.24956,2.11018,1.35195,1.73856,0.00150197,0.00150197,0.00150197
7,144.257,1.91214,1.29488,1.53566,0.67952,0.64319,0.69498,0.26324,2.17396,1.38642,1.78474,0.00146896,0.00146896,0.00146896
8,165.866,1.91482,1.27782,1.51667,0.66004,0.66204,0.67553,0.26099,2.1554,1.33202,1.79931,0.00143595,0.00143595,0.00143595
9,188.372,1.87759,1.23316,1.4978,0.72497,0.64672,0.71671,0.26656,2.15383,1.36597,1.79617,0.00140295,0.00140295,0.00140295
10,211.24,1.85061,1.19089,1.47534,0.66213,0.63616,0.70952,0.27054,2.10255,1.30003,1.73073,0.00136994,0.00136994,0.00136994
11,233.943,1.83937,1.17294,1.47261,0.78482,0.65358,0.73478,0.26966,2.1205,1.28218,1.77454,0.00133693,0.00133693,0.00133693
12,259.576,1.81927,1.17018,1.46971,0.66224,0.70115,0.72379,0.27281,2.16091,1.328,1.76969,0.00130393,0.00130393,0.00130393
13,288.258,1.78717,1.1225,1.45475,0.69932,0.66091,0.70365,0.26562,2.12794,1.30081,1.79616,0.00127092,0.00127092,0.00127092
